Серія	Дата заказа	Планована дата виготовлення	Заготовка готово	Час заготовка	Зварка готово	Час зварка	Фарбування готово	Час фарба	МДФГотово	Час МДФ	Зборка готово	Час зборка	Упаковка готово	Час упаковка	Тип	Модель	Розмір	Кількість створок
12600481	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*960	1
12600483	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600484	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600485	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600486	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600487	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600489	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600491	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600492	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600490	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600493	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600494	19.01.2026	31.03.2026	Так 		Так 		Так 		Так 		Так 		Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL423-скло	2040*860	1
12600499	19.01.2026	08.04.2026	Так 		Так 		Так 		Так 		Ні 	0,4800	Ні 	0,2286	Двері стандарт С-3скла	WS41-3скла	2480*1250	2
42600580	21.04.2026	08.04.2026	Ні 	0,3000	Ні 	0,2640	Ні 	0,5760	Ні 	0,1333	Ні 	0,5760	Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL707-скло	2040*960	1
42600581	21.04.2026	08.04.2026	Ні 	0,3000	Ні 	0,2640	Ні 	0,5760	Ні 	0,1333	Ні 	0,5760	Ні 	0,3429	Двері Garant лайт ОМФ-скло 	NPL707-скло	2040*960	1
32600032	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері титан	без рис	2040*960	1
32600033	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600101	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600103	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600104	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600105	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600107	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600102	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
32600106	03.03.2026	20.04.2026	Так 		Так 		Так 		Так 		Так 		Так 		Двері норма	рис фреза	2040*800	1
